fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H2-R6602,REM2981,PORTA ENGRANE DE EN125,entrada,1,Hoja 2,6602,U
Diciembre TOTAL,H2-R6603,43-2232,PORTA ENGRANE DE TRACERO DE GL150,entrada,1,Hoja 2,6603,U
Diciembre TOTAL,H2-R6604,PSK-004,PORTA ENGRANE DE TC200,entrada,3,Hoja 2,6604,U
Diciembre TOTAL,H2-R6605,PSK-013,PORTA ENGRANE DE RC150 RC200,entrada,1,Hoja 2,6605,U
Diciembre TOTAL,H2-R6606,PSK-002,PORTA ENGRANE DE YBR125 Y FT125 CON BALEROS,entrada,2,Hoja 2,6606,U
Diciembre TOTAL,H2-R6609,43-1210-001,PORTA ENGRANE DE YBR125 CON BALEROS,entrada,1,Hoja 2,6609,U
Diciembre TOTAL,H2-R6610,A1354,PORTA ENGRANE DE YBR125 FT125 CON BALEROS,entrada,3,Hoja 2,6610,U
Diciembre TOTAL,H2-R6611,REM163,PORTA ENGRANE DE YBR125 SIN BALEROS,entrada,3,Hoja 2,6611,U
Diciembre TOTAL,H2-R6612,,PORTA ENGRANE TRACERO DE GL150,entrada,1,Hoja 2,6612,U
Diciembre TOTAL,H2-R6613,PSK-010,PORTA SPROCKET TRACERO  PARA ATV-150 ATV-180,entrada,2,Hoja 2,6613,U
Diciembre 2,H2-R6615,REM1688 FUS-0192,PORTA FUCIBLES DE ENCHUFE,entrada,10,Hoja 2,6615,G
Diciembre TOTAL,H2-R6615,REM1688 FUS-0192,PORTA FUCIBLES DE ENCHUFE,entrada,16,Hoja 2,6615,U
Diciembre TOTAL,H2-R6616,REM431 FUS-0190,PORTA FUCIBLES DE VIDRIO,entrada,6,Hoja 2,6616,U
Diciembre TOTAL,H2-R6618,PTP-004,PORTA PLACAS DORADO  TODOS,entrada,2,Hoja 2,6618,U
Diciembre TOTAL,H2-R6620,PTP-002,PORTA PLACAS,entrada,1,Hoja 2,6620,U
Diciembre TOTAL,H2-R6621,VK-2001,PORTA PLACAS,entrada,1,Hoja 2,6621,U
Diciembre TOTAL,H2-R6623,VK-0108,PORTA PLACAS  PLATA,entrada,2,Hoja 2,6623,U
Diciembre TOTAL,H2-R6625,REM4489,PORTA PLACAS CHICO,entrada,8,Hoja 2,6625,U
Diciembre TOTAL,H2-R6627,REM2856  REM2826,POSAPIES UNIVERSALES,entrada,2,Hoja 2,6627,U
Diciembre TOTAL,H2-R6628,PORT-01,POSAPIES DE ALUMINIO,entrada,2,Hoja 2,6628,U
Diciembre TOTAL,H2-R6629,POP-018AC,POSAPIES DE AT110 y FT110,entrada,2,Hoja 2,6629,U
Diciembre TOTAL,H2-R6630,A157,POSAPIES TRACEROS DE MODERNA 125 D150,entrada,2,Hoja 2,6630,U
Diciembre TOTAL,H2-R6631,REM4403,POSAPIES TRACEROS DE BIT150,entrada,1,Hoja 2,6631,U
Diciembre 6,H2-R6632,A217,POSAPIES TRACEROS DE VITALIA 150,salida,1,Hoja 2,6632,P
Diciembre TOTAL,H2-R6632,A217,POSAPIES TRACEROS DE VITALIA 150,entrada,2,Hoja 2,6632,U
Diciembre TOTAL,H2-R6633,ZZPP01,POSAPIES TRACEROS DE WS150 Y 175,entrada,2,Hoja 2,6633,U
Diciembre TOTAL,H2-R6634,POP-076NE,POSAPIES DECORATIVOS,entrada,2,Hoja 2,6634,U
Diciembre TOTAL,H2-R6635,POP-024,POSAPIES,entrada,1,Hoja 2,6635,U
Diciembre TOTAL,H2-R6636,POP-025,POSAPIES DE,entrada,1,Hoja 2,6636,U
