fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H1-R3318,219RTE,EJE DE ARRANQUE 125CS DS125,entrada,1,Hoja 1 ,3318,U
Diciembre TOTAL,H1-R3319,EJE-010,EJE DE ARRANQUE DE  125Z  150Z  DM150  DT125,entrada,1,Hoja 1 ,3319,U
Diciembre TOTAL,H1-R3320,EJE-008,EJE DE ARRANQUE DE 70,entrada,1,Hoja 1 ,3320,U
Diciembre TOTAL,H1-R3322,REM1723,EJE DE ARRANQUE DE 110CC,entrada,1,Hoja 1 ,3322,U
Diciembre TOTAL,H1-R3323,31-5018,EJE DE ARRANQUE DE FT110,entrada,2,Hoja 1 ,3323,U
Diciembre TOTAL,H1-R3324,EJCN22,EJE DE ARRANQUE DE HONDA GL150,entrada,2,Hoja 1 ,3324,U
Diciembre TOTAL,H1-R3325,31-2027-001,EJE DE ARRANQUE DE HONDA CBF TWISTER 125,entrada,1,Hoja 1 ,3325,U
Diciembre TOTAL,H1-R3326,31-2016,EJE DE ARRANQUE DE HONDA GL150,entrada,1,Hoja 1 ,3326,U
Diciembre TOTAL,H1-R3327,784RPE,EJE DE ARRANQUE DE HONDA GL150,entrada,2,Hoja 1 ,3327,U
Diciembre TOTAL,H1-R3328,841RPE,EJE DE ARRANQUE DE YBR125,entrada,1,Hoja 1 ,3328,U
Diciembre TOTAL,H1-R3329,31-1013,EJE DE ARRANQUE DE YBR125,entrada,3,Hoja 1 ,3329,U
Diciembre TOTAL,H1-R3330,EJE-1506-0101,EJE DE CAMBIOS VTO XPRESS LITHIUM RYDER CYCLONE,entrada,1,Hoja 1 ,3330,U
Diciembre TOTAL,H1-R3335,EJE-E013,EJE DE CAMBIOS DE AT-125,entrada,1,Hoja 1 ,3335,U
Diciembre TOTAL,H1-R3336,EJE-081,EJE DE CAMBIOS DE XT110,entrada,1,Hoja 1 ,3336,U
Diciembre TOTAL,H1-R3337,EJE-E008,EJE DE CAMBIOS DE AT110,entrada,1,Hoja 1 ,3337,U
Diciembre TOTAL,H1-R3340,P011562,EJE DE CAMBIOS DE AT110,entrada,1,Hoja 1 ,3340,U
Diciembre TOTAL,H1-R3343,32-2022-001,EJE DE CAMBIOS DE CARGO GL150,entrada,2,Hoja 1 ,3343,U
Diciembre TOTAL,H1-R3346,EJE-E018,EJE DE CAMBIOS DE VORT-X300,entrada,1,Hoja 1 ,3346,U
Diciembre TOTAL,H1-R3347,EJE-E017,EJE DE CAMBIOS DE V-200,entrada,1,Hoja 1 ,3347,U
Diciembre TOTAL,H1-R3348,EJE-120,EJE DE CAMBIOS DE BOXER 150,entrada,2,Hoja 1 ,3348,U
Diciembre TOTAL,H1-R3349,REM3174,EJE DE CAMBIOS DE NS200,entrada,1,Hoja 1 ,3349,U
Diciembre TOTAL,H1-R3351,685RPE,EJE DE CAMBIOS DE MOTOCARRO,entrada,2,Hoja 1 ,3351,U
Diciembre TOTAL,H1-R3352,32-1118-001,EJE DE CAMBIOS DE YBR125,entrada,1,Hoja 1 ,3352,U
Diciembre TOTAL,H1-R3353,845RPE-EJE,EJE DE CAMBIOS DE YBR125,entrada,1,Hoja 1 ,3353,U
Diciembre TOTAL,H1-R3355,53-5020,EJE DE CAMBIOS FORZA,entrada,1,Hoja 1 ,3355,U
Diciembre TOTAL,H1-R3356,EJE-E014,EJE DE CAMBIOS 125FL,entrada,2,Hoja 1 ,3356,U
Diciembre 26,H1-R3357,EJE-0115,EJE DE CAMBIOS FT125,salida,1,Hoja 1 ,3357,N
Diciembre TOTAL,H1-R3357,EJE-0115,EJE DE CAMBIOS FT125,entrada,3,Hoja 1 ,3357,U
Diciembre 28,H1-R3358,EJE-CGM-02  EJE-E011,EJE DE CAMBIOS FT 125,salida,1,Hoja 1 ,3358,R
Diciembre 1,H1-R3358,EJE-CGM-02  EJE-E011,EJE DE CAMBIOS FT 125,salida,1,Hoja 1 ,3358,T
Diciembre TOTAL,H1-R3358,EJE-CGM-02  EJE-E011,EJE DE CAMBIOS FT 125,entrada,4,Hoja 1 ,3358,U
Diciembre TOTAL,H1-R3359,EJE-E021,EJE DE CAMBIOS DE ROCKETMAN-250,entrada,3,Hoja 1 ,3359,U
Diciembre TOTAL,H1-R3360,82-000,EJE DE CAMBIOS DE ROCKETMAN 250,entrada,2,Hoja 1 ,3360,U
Diciembre TOTAL,H1-R3361,EJE-E015,EJE DE CAMBIOS DE RC150,entrada,2,Hoja 1 ,3361,U
Diciembre TOTAL,H1-R3362,WP0203,EJE DE CAMBIOS NS200,entrada,3,Hoja 1 ,3362,U
Diciembre TOTAL,H1-R3363,EJE-E016,EJE DE CAMBIOS DM250  RT250  250Z,entrada,5,Hoja 1 ,3363,U
Diciembre TOTAL,H1-R3364,EJE-E003,EJE DE CAMBIOS  DM150 DT150 FORZA150 Y FT150GT,entrada,3,Hoja 1 ,3364,U
Diciembre TOTAL,H1-R3365,EJE-E019,EJE DE CAMBIOS  CROSSMAX   CYCLONE-200,entrada,3,Hoja 1 ,3365,U
Diciembre TOTAL,H1-R3367,EJE-E020,EJE DE CAMBIOS  ROCKEMAN-250  TORNADO 250  WORMAN-250,entrada,3,Hoja 1 ,3367,U
Diciembre TOTAL,H1-R3368,EJE-031 Y  EJE-B003,EJE DE HORQUILLA DE YBR125,entrada,24,Hoja 1 ,3368,U
Diciembre TOTAL,H1-R3369,EJE-094,EJE DE HORQUILLA DE 250SZ,entrada,3,Hoja 1 ,3369,U
Diciembre TOTAL,H1-R3370,EJE-088,EJE DE HORQUILLA DE 250Z,entrada,12,Hoja 1 ,3370,U
Diciembre TOTAL,H1-R3371,EJE-062,EJE DE HORQUILLA DE AT110,entrada,11,Hoja 1 ,3371,U
Diciembre TOTAL,H1-R3372,EJE-091  EJE-B021,EJE DE HORQUILLA DE DM150 JUEGO DE 10,entrada,14,Hoja 1 ,3372,U
Diciembre TOTAL,H1-R3373,EJE-085  EJE-B006,EJE DE HORQUILLA DE DM200 JUEGO DE 10,entrada,12,Hoja 1 ,3373,U
Diciembre TOTAL,H1-R3374,EJE-B005,EJE DE HORQUILLA DE FT180 FT200 FT250 POR PIEZA,entrada,13,Hoja 1 ,3374,U
Diciembre TOTAL,H1-R3375,EJE-053,EJE DE HORQUILLA DE EX200,entrada,8,Hoja 1 ,3375,U
Diciembre TOTAL,H1-R3376,45-5022-001,EJE DE HORQUILLA DE ST70,entrada,7,Hoja 1 ,3376,U
Diciembre TOTAL,H1-R3378,EJE-B002,EJE DE HORQUILLA OSILANTE FT 150,entrada,8,Hoja 1 ,3378,U
Diciembre TOTAL,H1-R3379,EJE-020,EJE DE HORQUILLA TRACERA DE AT110,entrada,9,Hoja 1 ,3379,U
Diciembre TOTAL,H1-R3380,EJE-023,EJE DE HORQUILLA TRASERA AT110 SPORT,entrada,10,Hoja 1 ,3380,U
Diciembre 27,H1-R3381,EJE-025   Y   EJE-B001,EJE DE HORQUILLA TRASERO FT 125,salida,1,Hoja 1 ,3381,P
Diciembre TOTAL,H1-R3381,EJE-025   Y   EJE-B001,EJE DE HORQUILLA TRASERO FT 125,entrada,3,Hoja 1 ,3381,U
Diciembre TOTAL,H1-R3382,,EJE DE HORQUILLA DE FZ16,entrada,8,Hoja 1 ,3382,U
Diciembre TOTAL,H1-R3383,EJE-028  EJE-C003,EJE DE PARADOR CENTRAL FT150 DT150,entrada,1,Hoja 1 ,3383,U
Diciembre TOTAL,H1-R3384,EJE-C002,EJE DE PARADOR CENTRAL AT110 FT110 XT110,entrada,1,Hoja 1 ,3384,U
Diciembre TOTAL,H1-R3385,EJE-029  EJE-C004,EJE DE PARADOR CENTRAL YBR125,entrada,2,Hoja 1 ,3385,U
Diciembre TOTAL,H1-R3387,EJE-A006,EJE DE RUEDA DELANTERA DE AT110,entrada,20,Hoja 1 ,3387,U
Diciembre TOTAL,H1-R3388,45-5089,EJE DE RUEDA DELANTERA DE DS150,entrada,4,Hoja 1 ,3388,U
Diciembre TOTAL,H1-R3389,EJE-098  EJE-A012,EJE DE RUEDA DELANTERA DE 150Z Y 150S,entrada,5,Hoja 1 ,3389,U
Diciembre TOTAL,H1-R3390,EJE-A044,EJE DE RUEDA DELANTERA DE CROSSMAX-250  CROSSMAX-300,entrada,6,Hoja 1 ,3390,U
Diciembre TOTAL,H1-R3391,EJE-A045,EJE DE RUEDA TRACERA DE  CROSSMAX-250  CROSSMAX-300,entrada,12,Hoja 1 ,3391,U
Diciembre TOTAL,H1-R3392,EJE-A046,EJE DE RUEDA DELANTERA DE NITROX-300,entrada,16,Hoja 1 ,3392,U
Diciembre TOTAL,H1-R3393,EJE-022,EJE DE RUEDA DELANTERA DE AT110,entrada,21,Hoja 1 ,3393,U
Diciembre TOTAL,H1-R3394,EJE-001 EJE-A001,EJE DE RUEDA DELANTERA DE FT125,entrada,8,Hoja 1 ,3394,U
Diciembre TOTAL,H1-R3395,EJE-030,EJE DE RUEDA DELANTERA DE YBR125,entrada,8,Hoja 1 ,3395,U
Diciembre TOTAL,H1-R3396,EJE-A005,EJE DE RUEDA DELANTERA MOTONETA DS150,entrada,8,Hoja 1 ,3396,U
Diciembre TOTAL,H1-R3397,EJE-A015,EJE DE RUEDA DELANTERA WS,entrada,7,Hoja 1 ,3397,U
Diciembre TOTAL,H1-R3398,45-5028-001,EJE DE RUEDA TRACERA DE 70,entrada,2,Hoja 1 ,3398,U
Diciembre TOTAL,H1-R3399,EJE-050,EJE DE RUEDA TRACERA DE YBR125,entrada,7,Hoja 1 ,3399,U
Diciembre TOTAL,H1-R3400,EJE-012  EJE-D001,EJE DE TRACCION PARA CS125 Y XS125,entrada,2,Hoja 1 ,3400,U
Diciembre TOTAL,H1-R3401,REM4509,EJE DE TRACCION PARA TS170 WS175 MODERNA 175 GTS175,entrada,2,Hoja 1 ,3401,U
Diciembre TOTAL,H1-R3402,REM4290,EJE DE TRACCION PARA D125 BIT150  WS150ESPORT,entrada,1,Hoja 1 ,3402,U
Diciembre TOTAL,H1-R3404,EJE-013  EJE-D002,EJE DE TRACCION PARA DS150 Y GS150 WS175 TRN-150  WS150,entrada,2,Hoja 1 ,3404,U
Diciembre TOTAL,H1-R3405,EJE-D003,EJE DE TRACCION D-125  MODERNA 150  WS-150,entrada,1,Hoja 1 ,3405,U
Diciembre TOTAL,H1-R3406,EJE-026,EJE DEPARADOR CENTRAL  125Z DT150,entrada,3,Hoja 1 ,3406,U
Diciembre TOTAL,H1-R3407,ESPECIAL,EJE ESPECIAL PARA REMOLQUE BALERO 6202 ESPECIAL,entrada,12,Hoja 1 ,3407,U
Diciembre TOTAL,H1-R3409,EJE-108,EJE POSICIONADOR DE SELECTOR DE CAMBIOS DE 170Z,entrada,5,Hoja 1 ,3409,U
Diciembre TOTAL,H1-R3411,EJE-M00150,EJE PRIMARIO DE TRASMICION DE DS150,entrada,9,Hoja 1 ,3411,U
Diciembre TOTAL,H1-R3412,REM1264,EJE SECUNDARIO DE YBR 125,entrada,3,Hoja 1 ,3412,U
Diciembre TOTAL,H1-R3413,,EJE SEMI REFORZADO,entrada,6,Hoja 1 ,3413,U
Diciembre TOTAL,H1-R3414,EJE-052,EJES  DE RUEDA DELANTERA DE DM150,entrada,7,Hoja 1 ,3414,U
Diciembre TOTAL,H1-R3415,,EJE PERRON  CON BALERS Y BUJE,entrada,5,Hoja 1 ,3415,U
Diciembre TOTAL,H1-R3416,,EJES CON TAZAS Y BALINES DE REMOLQUE,entrada,1,Hoja 1 ,3416,U
Diciembre TOTAL,H1-R3417,,EJES DE RUEDA DELANTERA DE FZ16,entrada,1,Hoja 1 ,3417,U
Diciembre TOTAL,H1-R3418,,EJES DE RUEDA DELANTERA DE RS150,entrada,4,Hoja 1 ,3418,U
Diciembre TOTAL,H1-R3419,EJE-A003,EJES DE RUEDA DELANTERA FT150,entrada,5,Hoja 1 ,3419,U
Diciembre TOTAL,H1-R3420,EJE-A033,EJES DE RUEDA  DELANTERA DE VITALIA 125 Y VENDETA 90,entrada,7,Hoja 1 ,3420,U
Diciembre TOTAL,H1-R3421,EJE-049,EJES DE RUEDA DELANTERAS DE CS125,entrada,5,Hoja 1 ,3421,U
Diciembre TOTAL,H1-R3422,EJE-014,EJES DE RUEDA TRACERA DE AT110,entrada,4,Hoja 1 ,3422,U
Diciembre TOTAL,H1-R3423,EJE-A038,EJES DE RUEDA TRACERA DE DM-250,entrada,2,Hoja 1 ,3423,U
Diciembre TOTAL,H1-R3424,EJE-A040,EJES DE RUEDA TRACERA DE VORTEX-200,entrada,7,Hoja 1 ,3424,U
Diciembre TOTAL,H1-R3425,EJE-A009,EJES DE RUEDA TRACERA DE DM150,entrada,20,Hoja 1 ,3425,U
Diciembre TOTAL,H1-R3426,45-5036,EJES DE RUEDA TRACERA DE FT110,entrada,9,Hoja 1 ,3426,U
Diciembre TOTAL,H1-R3427,EJE-A002,EJES DE RUEDA TRACERA DE FT125,entrada,10,Hoja 1 ,3427,U
Diciembre TOTAL,H1-R3428,EJE-A008,EJES DE RUEDA TRACERA DE FT180,entrada,14,Hoja 1 ,3428,U
Diciembre TOTAL,H1-R3429,EJE-A013,EJES DE RUEDA TRACERA DE 250Z 2014-2017,entrada,6,Hoja 1 ,3429,U
Diciembre TOTAL,H1-R3430,EJE-A035,EJES DE RUEDA TRACERA DE 250Z,entrada,9,Hoja 1 ,3430,U
Diciembre TOTAL,H1-R3431,EJE-015,EJES DE RUEDA TRACERA DE RT200,entrada,14,Hoja 1 ,3431,U
Diciembre TOTAL,H1-R3432,EJE-A036,EJES DE RUEDA TRACERA DE RC150 RC200,entrada,9,Hoja 1 ,3432,U
Diciembre TOTAL,H1-R3433,EJE-A004,EJES DE RUEDA TRACERA DE FT150,entrada,8,Hoja 1 ,3433,U
Diciembre TOTAL,H1-R3434,EJE-096,EJES DE RUEDAS DELANTERAS DE WS150,entrada,3,Hoja 1 ,3434,U
Diciembre TOTAL,H1-R3435,EJE-A005,EJES DE RUEDAS DELANTERAS DE DS150 GS150 Y GSC175,entrada,9,Hoja 1 ,3435,U
Diciembre TOTAL,H1-R3436,REM3571,EJE DE RUEDA TRACERA DE NS200,entrada,3,Hoja 1 ,3436,U
Diciembre TOTAL,H1-R3437,INDU,EJES REFORZADOS INDU,entrada,10,Hoja 1 ,3437,U
Diciembre 28,H1-R3438,11205              EMB-25,EMBUDO DE PLASTICO 250ML,salida,1,Hoja 1 ,3438,R
Diciembre TOTAL,H1-R3438,11205              EMB-25,EMBUDO DE PLASTICO 250ML,entrada,8,Hoja 1 ,3438,U
Diciembre TOTAL,H1-R3439,13421-VTO-300,EJE DE EQUILIBRIO ENFRIADO POR ACEITE,entrada,1,Hoja 1 ,3439,U
Diciembre TOTAL,H1-R3440,28131-VTO-150,ENGRANE REDUCTOR 150CC VENTO 150,entrada,9,Hoja 1 ,3440,U
Diciembre TOTAL,H1-R3441,ENG-022,ENGRANE ACTUADOR CHICO DE FT180 Y TC200,entrada,2,Hoja 1 ,3441,U
Diciembre 28,H1-R3442,ENCN60,ENGRANE DE ARBOL DE LEVAS DE FZ16,salida,1,Hoja 1 ,3442,R
Diciembre TOTAL,H1-R3442,ENCN60,ENGRANE DE ARBOL DE LEVAS DE FZ16,entrada,4,Hoja 1 ,3442,U
Diciembre TOTAL,H1-R3443,ENCN41,ENGRANE DE ARBOL DE LEVAS DE 250Z,entrada,3,Hoja 1 ,3443,U
Diciembre TOTAL,H1-R3444,ENCN46,ENGRANE DE ARBOL DE LEVAS DE NS200,entrada,3,Hoja 1 ,3444,U
Diciembre TOTAL,H1-R3445,ENG-0135,ENGRANE DE ARBOL DE LEVAS DE ST70 O ST90,entrada,8,Hoja 1 ,3445,U
Diciembre TOTAL,H1-R3446,774RPE,ENGRANE DE ARBOL DE LEVAS DE HONDA CARGO,entrada,2,Hoja 1 ,3446,U
Diciembre TOTAL,H1-R3447,ECD-003,ENGRANE DE CADENA DISTRIBUCION DE 250Z DM250 RT250,entrada,4,Hoja 1 ,3447,U
Diciembre TOTAL,H1-R3448,ENG-0130,ENGRANES DE CADENA DE DISTRIBUCION AT110,entrada,5,Hoja 1 ,3448,U
Diciembre TOTAL,H1-R3449,82-001,ENGRANE DE CADENA DE TIEMPO DE ROCKEMAN,entrada,3,Hoja 1 ,3449,U
Diciembre TOTAL,H1-R3450,28133-VTO-250,ENGRANE DUAL,entrada,1,Hoja 1 ,3450,U
Diciembre TOTAL,H1-R3451,28113-VTO-300,ENGRANE DE CIGÜEÑAL DE VENTO-300,entrada,1,Hoja 1 ,3451,U
Diciembre TOTAL,H1-R3453,849RPE,ENGRANE DE CIGÜEÑAL DE YBR125,entrada,3,Hoja 1 ,3453,U
Diciembre TOTAL,H1-R3454,E12020039,ENGRANE DE CIGÜEÑAL GTS175,entrada,2,Hoja 1 ,3454,U
Diciembre TOTAL,H1-R3455,A354,ENGRANE DE CIGÜEÑAL CS125 Y DS150,entrada,2,Hoja 1 ,3455,U
Diciembre TOTAL,H1-R3456,ENG-GYF-02,ENGRANE DE CIGÜEÑAL CS125 DS 150 CONICO,entrada,4,Hoja 1 ,3456,U
Diciembre TOTAL,H1-R3457,430RHE,ENGRANES DE DIFERENCIAL DE MOTOCARRO,entrada,2,Hoja 1 ,3457,U
Diciembre TOTAL,H1-R3459,28112-VTO-300,ENGRANE DE IMPULSOR  EJE BALANCEADOR DE VENTO-300,entrada,1,Hoja 1 ,3459,U
Diciembre TOTAL,H1-R3460,28131-VTO-250,ENGRANE DE REDUCCION PARA VENTO 250,entrada,1,Hoja 1 ,3460,U
Diciembre TOTAL,H1-R3461,28114-VTO-300,ENGRANE IMPULSOR VENTO-300,entrada,1,Hoja 1 ,3461,U
Diciembre TOTAL,H1-R3462,31-5022,ENGRANE IMPULSOR DE ARRANQUE DE  VS90,entrada,2,Hoja 1 ,3462,U
Diciembre TOTAL,H1-R3463,ENCN34,ENGRANE CHICO DE ARRANQUE DE 250Z,entrada,3,Hoja 1 ,3463,U
Diciembre TOTAL,H1-R3464,ENG-006,ENGRANE DE ARRANQUE DE 70 y 110,entrada,5,Hoja 1 ,3464,U
Diciembre TOTAL,H1-R3465,ENSA58,ENGRANE DE CADENA DE 250Z 34T,entrada,3,Hoja 1 ,3465,U
Diciembre TOTAL,H1-R3466,27-2067,ENGRANE DE CADENA CARGO 125 Y GL150  43T,entrada,1,Hoja 1 ,3466,U
Diciembre TOTAL,H1-R3467,350RPF,ENGRANE DE CADENA DE FT125 38T- 45H RECTO,entrada,2,Hoja 1 ,3467,U
Diciembre TOTAL,H1-R3468,4120A-FALK-200,ENGRANE DE CADENA DE FALK-200,entrada,4,Hoja 1 ,3468,U
Diciembre TOTAL,H1-R3469,MS606,ENGRANE DE CADENA DE VENTO 250,entrada,2,Hoja 1 ,3469,U
Diciembre TOTAL,H1-R3470,ENSA80,ENGRANE DE CADENA DE VORT-X200,entrada,2,Hoja 1 ,3470,U
Diciembre TOTAL,H1-R3471,SPR-A021,ENGRANE DE CADENA DE VORT-X 200,entrada,1,Hoja 1 ,3471,U
Diciembre TOTAL,H1-R3472,SPR-A019,ENGRANE DE CADENA DE VORT-X 300,entrada,1,Hoja 1 ,3472,U
Diciembre TOTAL,H1-R3473,SPR-A025,ENGRANE DE CADENA DE 428-50T  DE CROSSMAX-250,entrada,2,Hoja 1 ,3473,U
Diciembre TOTAL,H1-R3474,SPR-A026,ENGRADE DE CADENA DE CROSSMAX 200 Y CROSSMAX 150,entrada,1,Hoja 1 ,3474,U
Diciembre TOTAL,H1-R3475,SPR-A023,ENGRANE DE CADENA DE ROCKETMAN-250 SCREAMER-250,entrada,2,Hoja 1 ,3475,U
Diciembre TOTAL,H1-R3476,ENSA51,ENGRANE DE CADENA DE 150Z 41T,entrada,2,Hoja 1 ,3476,U
Diciembre TOTAL,H1-R3477,ENSA31,ENGRANE DE CADENA DE HONDA,entrada,2,Hoja 1 ,3477,U
Diciembre TOTAL,H1-R3478,SPR-002-TW,ENGRANE DE CADENA DE FT 125 38T -15T CONCABA,entrada,3,Hoja 1 ,3478,U
Diciembre TOTAL,H1-R3479,A218,ENGRANE DE CADENA DE FT 125 38T -15T PLANA,entrada,1,Hoja 1 ,3479,U
Diciembre TOTAL,H1-R3481,SPR-A006,ENGRANE DE CADENA DE FT150 39T-15T,entrada,2,Hoja 1 ,3481,U
Diciembre TOTAL,H1-R3482,A827,ENGRANE DE CADENA DE FT150 39T-15T,entrada,2,Hoja 1 ,3482,U
Diciembre 27,H1-R3483,27-1041-001,ENGRANE DE CADENA DE FT125 38T-45H CONCAVA,salida,1,Hoja 1 ,3483,P
Diciembre TOTAL,H1-R3484,A1151,ENGRANE DE CADENA DE FT125 38T- 45H CONCAVA,entrada,4,Hoja 1 ,3484,U
Diciembre TOTAL,H1-R3485,A828,ENGRANE DE CADENA DE FZ-16,entrada,1,Hoja 1 ,3485,U
Diciembre TOTAL,H1-R3486,REM854,ENGRANE DE CADENA DE JONDA CARGO TITAN44,entrada,2,Hoja 1 ,3486,U
Diciembre TOTAL,H1-R3487,WP0087,ENGRANE DE CADENA DE PULSAR 200,entrada,2,Hoja 1 ,3487,U
Diciembre TOTAL,H1-R3488,75-540,ENGRANE DE CADENA DE PULSAR 200,entrada,1,Hoja 1 ,3488,U
Diciembre TOTAL,H1-R3489,DZM-009-SPR,ENGRANE DE CADENA PARA POCKET,entrada,1,Hoja 1 ,3489,U
Diciembre TOTAL,H1-R3490,A1056,ENGRANE DE CADENA DE TITAN CG150 43T +16T,entrada,2,Hoja 1 ,3490,U
Diciembre TOTAL,H1-R3491,REM2533 Y A2533,ENGRANE DE GN125 43-45,entrada,1,Hoja 1 ,3491,U
Diciembre TOTAL,H1-R3492,ARB-B001-1,ENGRANE DE CADENA DE YBR125 45T-44T,entrada,3,Hoja 1 ,3492,U
Diciembre TOTAL,H1-R3493,REM523 A523,ENGRANE DE CADENA DE YBR125 45T-43T,entrada,3,Hoja 1 ,3493,U
Diciembre TOTAL,H1-R3494,ECD-002,ENGRANE DE CADENA DE DISTRIBUCION DE AT110 RT110 Y AT125,entrada,29,Hoja 1 ,3494,U
Diciembre TOTAL,H1-R3495,ENG-007,ENGRANE DE CADENA DE DISTRIBUCION DE AT110,entrada,18,Hoja 1 ,3495,U
Diciembre TOTAL,H1-R3496,ENG-097,ENGRANE DE CADENA DISTRIBUCION 250Z  DM250 Y RT250,entrada,5,Hoja 1 ,3496,U
Diciembre TOTAL,H1-R3497,ECD-004,ENGRANE DE CADENA DE DIS,entrada,2,Hoja 1 ,3497,U
Diciembre TOTAL,H1-R3498,837RPE,ENGRANE DE CADENA Y ARBOL DE LEVAS YBR,entrada,3,Hoja 1 ,3498,U
Diciembre TOTAL,H1-R3499,3Y1-25446-11-00,ENGRANE DE SR250,entrada,2,Hoja 1 ,3499,U
Diciembre TOTAL,H1-R3500,SPR-020  SPR-A004,ENGRANE DE DM125,entrada,3,Hoja 1 ,3500,U
Diciembre TOTAL,H1-R3502,,ENGRANE DE FT110,entrada,3,Hoja 1 ,3502,U
Diciembre TOTAL,H1-R3503,SPR-A017,ENGRANE DE FT180 Y EX200,entrada,2,Hoja 1 ,3503,U
Diciembre TOTAL,H1-R3504,SPR-006,ENGRANE DE FT180 Y EX200,entrada,2,Hoja 1 ,3504,U
Diciembre TOTAL,H1-R3505,REM3079,ENGRANE LIBRE DE PEDAL DE ARRANQUE DE YBR125 28DIENTES,entrada,2,Hoja 1 ,3505,U
Diciembre TOTAL,H1-R3506,31-1014-001,ENGRANE DE PEDAL DE ARRANQUE DE YBR125,entrada,2,Hoja 1 ,3506,U
Diciembre TOTAL,H1-R3507,,ENGRANE DE TREN DE VALVULAS FT110,entrada,6,Hoja 1 ,3507,U
Diciembre TOTAL,H1-R3508,ENG-025,ENGRANE DE CIGUEÑAL DE FT150-FT180-TC200,entrada,1,Hoja 1 ,3508,U
Diciembre TOTAL,H1-R3509,28113-VTO-250,ENGRANE DEL BALANCEADOR DE VENTO 250,entrada,1,Hoja 1 ,3509,U
Diciembre TOTAL,H1-R3510,ENG-024,ENGRANE DEL BALANCEADOR DE FT150-FT180-TC200,entrada,1,Hoja 1 ,3510,U
Diciembre TOTAL,H1-R3511,REM356,ENGRANE DOBLE DE TRANSMICION MOTONETA,entrada,2,Hoja 1 ,3511,U
Diciembre TOTAL,H1-R3512,ENG-027,ENGRANE IMPULSOR DE BOMBA DE ACEITE DS150,entrada,2,Hoja 1 ,3512,U
Diciembre TOTAL,H1-R3513,ENG-001,ENGRANE DE ARRANQUE DE 125Z -150Z 170Z DM150,entrada,1,Hoja 1 ,3513,U
Diciembre TOTAL,H1-R3514,A1015,ENGRANE PRIMARIO DE YBR,entrada,1,Hoja 1 ,3514,U
Diciembre TOTAL,H1-R3515,ENG-CGM-02,ENGRANE PRIMARIO PARA FORZA 150 -125 Lla NO PEDIR,entrada,6,Hoja 1 ,3515,U
Diciembre TOTAL,H1-R3516,CON-20007,ENGRANE PRIMARIO PARA FT125,entrada,4,Hoja 1 ,3516,U
Diciembre TOTAL,H1-R3517,53-5021,ENGRANE PRIMARIO PARA RS150,entrada,3,Hoja 1 ,3517,U
Diciembre TOTAL,H1-R3518,53-5040,ENGRANE PRIMARIO PARA RT200,entrada,2,Hoja 1 ,3518,U
Diciembre TOTAL,H1-R3519,ENG-052,ENGRANE SECUNDARIO DE CUARTA DE FT110,entrada,1,Hoja 1 ,3519,U
Diciembre TOTAL,H1-R3521,REM67 A67,ENGRANE SECUNDARIO DE MOTONETA DS150,entrada,6,Hoja 1 ,3521,U
Diciembre TOTAL,H1-R3522,,ENGRANE SECUNDARIO PARA FT125,entrada,1,Hoja 1 ,3522,U
Diciembre TOTAL,H1-R3523,53-5027,ENGRANE SECUNDARIO PARA RS150,entrada,1,Hoja 1 ,3523,U
Diciembre TOTAL,H1-R3524,53-5042,ENGRANE SECUNDARIO PARA RT200,entrada,2,Hoja 1 ,3524,U
Diciembre TOTAL,H1-R3525,,ENGRANE PRIMARIO DE ST70,entrada,1,Hoja 1 ,3525,U
Diciembre TOTAL,H1-R3526,GRASA,ESMERIL PARA VALVULAS VELOCIL,entrada,6,Hoja 1 ,3526,U
Diciembre TOTAL,H1-R3527,REM3572,ESPACIADOR AJUSTADOR DE CADENA PARA NS200,entrada,6,Hoja 1 ,3527,U
Diciembre TOTAL,H1-R3528,REM1280,ESPATULAS PARA LLANTAS CON MANGO,entrada,6,Hoja 1 ,3528,U
Diciembre TOTAL,H1-R3529,A1133,ESPATULAS PARA LLANTAS,entrada,6,Hoja 1 ,3529,U
Diciembre TOTAL,H1-R3530,ESP-4213-0538,ESPEJOS DE VTO STORM 250,entrada,2,Hoja 1 ,3530,U
Diciembre TOTAL,H1-R3531,EST-3102-0606,ESPEJOS DE CYCLONE/FALKON/HAWK/SHARK,entrada,3,Hoja 1 ,3531,U
Diciembre TOTAL,H1-R3532,ESPJ,ESPEJOS DE RT200 METALICOS,entrada,1,Hoja 1 ,3532,U
Diciembre TOTAL,H1-R3533,MAN-015-239RPF-ESP,ESPEJOS NEGROS DAZON,entrada,19,Hoja 1 ,3533,U
Diciembre TOTAL,H1-R3534,ESPJ010,ESPEJOS DEPORTIVOS CON LED Y BASE DE TORNILLO,entrada,2,Hoja 1 ,3534,U
Diciembre TOTAL,H1-R3535,ESPJ008,ESPEJOS COFE RACER,entrada,6,Hoja 1 ,3535,U
Diciembre TOTAL,H1-R3536,A925,ESPEJOS DECORATIVOS,entrada,3,Hoja 1 ,3536,U
Diciembre TOTAL,H1-R3538,REM3608,ESPEJOS DE FIBRA DE CARBONO,entrada,2,Hoja 1 ,3538,U
